simulation,Brazil,Argentina,Spain,France,England
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,25.0,0.0,0.0,0.0,0.0
5,40.0,0.0,0.0,0.0,0.0
6,33.33333333333333,0.0,0.0,0.0,0.0
7,42.857142857142854,0.0,0.0,0.0,0.0
8,37.5,12.5,0.0,0.0,0.0
9,33.33333333333333,11.11111111111111,11.11111111111111,0.0,0.0
10,30.0,10.0,10.0,0.0,0.0
11,27.27272727272727,9.090909090909092,18.181818181818183,0.0,0.0
12,25.0,8.333333333333332,16.666666666666664,0.0,0.0
13,23.076923076923077,7.6923076923076925,15.384615384615385,0.0,0.0
14,28.57142857142857,7.142857142857142,14.285714285714285,0.0,0.0
15,26.666666666666668,6.666666666666667,13.333333333333334,6.666666666666667,0.0
16,25.0,6.25,12.5,6.25,0.0
17,23.52941176470588,5.88235294117647,11.76470588235294,5.88235294117647,0.0
18,22.22222222222222,11.11111111111111,11.11111111111111,5.555555555555555,0.0
19,26.31578947368421,10.526315789473683,10.526315789473683,5.263157894736842,0.0
20,30.0,10.0,10.0,5.0,0.0
21,28.57142857142857,9.523809523809524,9.523809523809524,4.761904761904762,0.0
22,27.27272727272727,13.636363636363635,9.090909090909092,4.545454545454546,0.0
23,26.08695652173913,17.391304347826086,8.695652173913043,4.3478260869565215,0.0
24,29.166666666666668,16.666666666666664,8.333333333333332,4.166666666666666,0.0
25,32.0,16.0,8.0,4.0,0.0
26,30.76923076923077,15.384615384615385,7.6923076923076925,3.8461538461538463,0.0
27,33.33333333333333,14.814814814814813,7.4074074074074066,3.7037037037037033,0.0
28,32.142857142857146,17.857142857142858,7.142857142857142,3.571428571428571,0.0
29,31.03448275862069,17.24137931034483,6.896551724137931,6.896551724137931,0.0
30,30.0,20.0,6.666666666666667,6.666666666666667,0.0
31,32.25806451612903,19.35483870967742,6.451612903225806,6.451612903225806,0.0
32,31.25,18.75,6.25,6.25,0.0
33,30.303030303030305,21.21212121212121,6.0606060606060606,6.0606060606060606,0.0
34,29.411764705882355,20.588235294117645,5.88235294117647,5.88235294117647,0.0
35,28.57142857142857,20.0,8.571428571428571,5.714285714285714,0.0
36,27.77777777777778,19.444444444444446,8.333333333333332,5.555555555555555,0.0
37,27.027027027027028,18.91891891891892,8.108108108108109,5.405405405405405,0.0
38,28.947368421052634,18.421052631578945,7.894736842105263,5.263157894736842,0.0
39,30.76923076923077,17.94871794871795,7.6923076923076925,5.128205128205128,0.0
40,32.5,17.5,7.5,5.0,0.0
41,31.70731707317073,19.51219512195122,7.317073170731707,4.878048780487805,0.0
42,30.952380952380953,19.047619047619047,7.142857142857142,7.142857142857142,0.0
43,30.23255813953488,18.6046511627907,6.976744186046512,6.976744186046512,2.3255813953488373
44,29.545454545454547,18.181818181818183,6.8181818181818175,6.8181818181818175,2.272727272727273
45,28.888888888888886,17.77777777777778,6.666666666666667,8.88888888888889,2.2222222222222223
46,30.434782608695656,17.391304347826086,6.521739130434782,8.695652173913043,2.1739130434782608
47,29.78723404255319,17.02127659574468,6.382978723404255,8.51063829787234,4.25531914893617
48,31.25,16.666666666666664,6.25,8.333333333333332,4.166666666666666
