simulation,Spain,Argentina,France,England,Brazil
1,0.0,0.0,0.0,0.0,0.0
2,50.0,0.0,0.0,0.0,0.0
3,33.33333333333333,0.0,0.0,0.0,0.0
4,25.0,0.0,0.0,0.0,0.0
5,20.0,0.0,0.0,0.0,0.0
6,16.666666666666664,16.666666666666664,0.0,0.0,0.0
7,14.285714285714285,14.285714285714285,0.0,0.0,0.0
8,25.0,12.5,0.0,0.0,0.0
9,33.33333333333333,11.11111111111111,0.0,0.0,0.0
10,30.0,10.0,0.0,0.0,0.0
11,27.27272727272727,18.181818181818183,0.0,0.0,0.0
12,25.0,25.0,0.0,0.0,0.0
13,23.076923076923077,23.076923076923077,0.0,0.0,0.0
14,21.428571428571427,21.428571428571427,7.142857142857142,0.0,0.0
15,20.0,26.666666666666668,6.666666666666667,0.0,0.0
16,25.0,25.0,6.25,0.0,0.0
17,23.52941176470588,23.52941176470588,5.88235294117647,5.88235294117647,0.0
18,22.22222222222222,22.22222222222222,5.555555555555555,5.555555555555555,0.0
19,21.052631578947366,21.052631578947366,5.263157894736842,5.263157894736842,0.0
20,20.0,20.0,5.0,10.0,0.0
21,19.047619047619047,19.047619047619047,4.761904761904762,14.285714285714285,0.0
22,18.181818181818183,18.181818181818183,4.545454545454546,18.181818181818183,0.0
23,17.391304347826086,17.391304347826086,4.3478260869565215,17.391304347826086,0.0
24,16.666666666666664,16.666666666666664,4.166666666666666,16.666666666666664,4.166666666666666
25,20.0,16.0,4.0,16.0,4.0
26,19.230769230769234,15.384615384615385,3.8461538461538463,15.384615384615385,3.8461538461538463
27,18.51851851851852,14.814814814814813,3.7037037037037033,18.51851851851852,3.7037037037037033
28,17.857142857142858,14.285714285714285,7.142857142857142,17.857142857142858,3.571428571428571
29,17.24137931034483,13.793103448275861,6.896551724137931,17.24137931034483,3.4482758620689653
30,16.666666666666664,13.333333333333334,6.666666666666667,16.666666666666664,3.3333333333333335
31,19.35483870967742,12.903225806451612,6.451612903225806,16.129032258064516,3.225806451612903
32,18.75,15.625,6.25,15.625,3.125
33,18.181818181818183,18.181818181818183,6.0606060606060606,15.151515151515152,3.0303030303030303
34,17.647058823529413,17.647058823529413,5.88235294117647,14.705882352941178,2.941176470588235
35,17.142857142857142,17.142857142857142,8.571428571428571,14.285714285714285,2.857142857142857
36,16.666666666666664,16.666666666666664,11.11111111111111,13.88888888888889,2.7777777777777777
37,16.216216216216218,16.216216216216218,10.81081081081081,13.513513513513514,2.7027027027027026
38,15.789473684210526,15.789473684210526,10.526315789473683,13.157894736842104,2.631578947368421
39,15.384615384615385,15.384615384615385,10.256410256410255,15.384615384615385,2.564102564102564
40,15.0,15.0,10.0,17.5,2.5
41,14.634146341463413,14.634146341463413,12.195121951219512,17.073170731707318,2.4390243902439024
42,16.666666666666664,14.285714285714285,11.904761904761903,16.666666666666664,2.380952380952381
43,16.27906976744186,16.27906976744186,11.627906976744185,16.27906976744186,2.3255813953488373
44,18.181818181818183,15.909090909090908,11.363636363636363,15.909090909090908,2.272727272727273
45,20.0,15.555555555555555,11.11111111111111,15.555555555555555,2.2222222222222223
46,21.73913043478261,15.217391304347828,10.869565217391305,15.217391304347828,2.1739130434782608
47,23.404255319148938,14.893617021276595,10.638297872340425,14.893617021276595,2.127659574468085
48,22.916666666666664,16.666666666666664,10.416666666666668,14.583333333333334,2.083333333333333
49,22.448979591836736,16.3265306122449,10.204081632653061,14.285714285714285,2.0408163265306123
50,22.0,16.0,10.0,16.0,2.0
51,21.568627450980394,17.647058823529413,9.803921568627452,15.686274509803921,1.9607843137254901
52,21.153846153846153,19.230769230769234,9.615384615384617,15.384615384615385,1.9230769230769231
53,20.754716981132077,18.867924528301888,9.433962264150944,15.09433962264151,1.8867924528301887
54,20.37037037037037,20.37037037037037,9.25925925925926,14.814814814814813,1.8518518518518516
55,20.0,20.0,9.090909090909092,14.545454545454545,1.8181818181818181
56,19.642857142857142,21.428571428571427,8.928571428571429,14.285714285714285,1.7857142857142856
57,19.298245614035086,21.052631578947366,8.771929824561402,14.035087719298245,1.7543859649122806
58,18.96551724137931,20.689655172413794,10.344827586206897,13.793103448275861,1.7241379310344827
59,18.64406779661017,22.033898305084744,10.16949152542373,13.559322033898304,1.694915254237288
60,18.333333333333332,21.666666666666668,11.666666666666666,13.333333333333334,1.6666666666666667
61,18.0327868852459,21.311475409836063,11.475409836065573,13.114754098360656,3.278688524590164
62,17.741935483870968,22.58064516129032,11.29032258064516,12.903225806451612,3.225806451612903
63,17.46031746031746,22.22222222222222,11.11111111111111,12.698412698412698,4.761904761904762
64,18.75,21.875,10.9375,12.5,4.6875
65,18.461538461538463,21.53846153846154,10.76923076923077,12.307692307692308,4.615384615384616
66,18.181818181818183,21.21212121212121,12.121212121212121,12.121212121212121,4.545454545454546
67,17.91044776119403,22.388059701492537,11.940298507462686,11.940298507462686,4.477611940298507
68,19.11764705882353,22.058823529411764,11.76470588235294,11.76470588235294,4.411764705882353
69,20.28985507246377,21.73913043478261,11.594202898550725,11.594202898550725,4.3478260869565215
70,20.0,21.428571428571427,11.428571428571429,11.428571428571429,4.285714285714286
71,19.718309859154928,22.535211267605636,11.267605633802818,11.267605633802818,4.225352112676056
72,19.444444444444446,22.22222222222222,11.11111111111111,12.5,4.166666666666666
73,19.17808219178082,21.91780821917808,10.95890410958904,13.698630136986301,4.10958904109589
74,18.91891891891892,21.62162162162162,10.81081081081081,13.513513513513514,4.054054054054054
75,18.666666666666668,21.333333333333336,10.666666666666668,13.333333333333334,4.0
76,19.736842105263158,21.052631578947366,10.526315789473683,13.157894736842104,3.9473684210526314
77,19.480519480519483,22.07792207792208,10.38961038961039,12.987012987012985,3.896103896103896
78,20.51282051282051,21.794871794871796,10.256410256410255,12.82051282051282,3.8461538461538463
79,20.253164556962027,21.518987341772153,10.126582278481013,12.658227848101266,3.79746835443038
80,20.0,21.25,10.0,12.5,3.75
81,20.98765432098765,20.98765432098765,9.876543209876543,12.345679012345679,3.7037037037037033
82,20.73170731707317,21.951219512195124,9.75609756097561,12.195121951219512,3.6585365853658534
83,20.481927710843372,21.686746987951807,9.63855421686747,12.048192771084338,3.614457831325301
84,21.428571428571427,21.428571428571427,9.523809523809524,11.904761904761903,3.571428571428571
85,21.176470588235293,21.176470588235293,9.411764705882353,11.76470588235294,3.5294117647058822
86,22.093023255813954,20.930232558139537,9.30232558139535,11.627906976744185,3.488372093023256
87,22.988505747126435,20.689655172413794,9.195402298850574,11.494252873563218,3.4482758620689653
88,22.727272727272727,20.454545454545457,9.090909090909092,12.5,3.4090909090909087
89,23.595505617977526,20.224719101123593,8.98876404494382,12.359550561797752,3.3707865168539324
90,23.333333333333332,20.0,8.88888888888889,12.222222222222221,3.3333333333333335
91,24.175824175824175,19.78021978021978,8.791208791208792,12.087912087912088,3.296703296703297
92,23.91304347826087,19.565217391304348,8.695652173913043,13.043478260869565,3.260869565217391
93,23.655913978494624,19.35483870967742,9.67741935483871,12.903225806451612,3.225806451612903
94,23.404255319148938,19.148936170212767,9.574468085106384,12.76595744680851,3.1914893617021276
95,23.157894736842106,20.0,9.473684210526317,12.631578947368421,3.1578947368421053
96,22.916666666666664,19.791666666666664,9.375,12.5,3.125
97,22.68041237113402,19.587628865979383,9.278350515463918,12.371134020618557,3.0927835051546393
98,22.448979591836736,19.387755102040817,10.204081632653061,12.244897959183673,3.061224489795918
99,22.22222222222222,19.19191919191919,10.1010101010101,12.121212121212121,4.040404040404041
100,23.0,19.0,10.0,12.0,4.0
