team,win_pct
Spain,21.42
Argentina,19.48
France,11.51
England,5.800000000000001
Brazil,5.59
Germany,4.99
Netherlands,4.7
Portugal,3.8699999999999997
Japan,2.92
Colombia,2.75
Morocco,2.59
Croatia,2.56
Ecuador,2.0
Mexico,1.67
Uruguay,1.44
Belgium,1.24
Switzerland,1.15
Senegal,0.8999999999999999
Australia,0.52
Norway,0.42
South Korea,0.41000000000000003
Austria,0.35000000000000003
Paraguay,0.33
United States,0.3
Canada,0.27
Algeria,0.2
Iran,0.12
Sweden,0.1
Egypt,0.09
Uzbekistan,0.08
Scotland,0.05
Ivory Coast,0.05
Tunisia,0.05
Panama,0.04
Saudi Arabia,0.02
Jordan,0.01
South Africa,0.01
Czechia,0.0
Qatar,0.0
Bosnia-Herzegovina,0.0
Turkiye,0.0
Haiti,0.0
Curacao,0.0
New Zealand,0.0
Cape Verde,0.0
Iraq,0.0
DR Congo,0.0
Ghana,0.0
